,bus_stop_code,road_name,latitude,longitude,stop_description
3952,70051,Upp Aljunied Rd,1.3362720215413102,103.87777948299751,Aft Joo Seng Rd
3953,70059,Upp Aljunied Rd,1.33477611102342,103.8783116670176,Aft Joo Seng Rd
3954,70061,Upp Aljunied Rd,1.3385792370348701,103.87542864573656,Bef Bidadari Pk Dr
3955,70069,Upp Aljunied Rd,1.3383995192887301,103.87591879816988,Aft Bidadari Pk Dr
3956,70071,Ubi Ave 3,1.33377161253401,103.89841293744438,Cycle & Carriage
3957,70079,Ubi Ave 3,1.33372166698373,103.89851833301577,Aft Regent Motors
3958,70081,Ubi Ave 3,1.3322758014945901,103.89497442435284,Opp HDB CP
3959,70089,Ubi Ave 3,1.3318770216451201,103.89443953236936,HDB CP
3960,70091,Ubi Ave 3,1.3307173594400399,103.89091372491256,Opp Traffic Police
3961,70099,Ubi Ave 3,1.33063155191578,103.89132142065272,Traffic Police
3962,70101,MacPherson Rd,1.3296996501314,103.87395296821519,Opp Gulab Bldg
3963,70109,MacPherson Rd,1.32946242383323,103.874037265782,Gulab Bldg
3964,70111,MacPherson Rd,1.3307766855737,103.87714812684305,Opp Cencon Bldg
3965,70119,MacPherson Rd,1.3307503350977599,103.8777335022986,Cencon Bldg
3966,70121,MacPherson Rd,1.3319080537308998,103.8811428214188,Aft Jln Muhibbah
3967,70129,MacPherson Rd,1.33157543468156,103.88058185579888,Opp Jln Muhibbah
3968,70131,MacPherson Rd,1.3327616336301,103.88503448837112,Bef Davidson Rd
3969,70139,MacPherson Rd,1.3321820215026101,103.88328460405728,Aft Jln Belangkas
3970,70141,MacPherson Rd,1.33325940650465,103.88723373413464,Citimac Ind Cplx
3971,70149,MacPherson Rd,1.33291249995394,103.88646305557552,MacPherson Green Condo
3972,70151,Merpati Rd,1.3276837427956498,103.8809633442231,Aft Jln Anggerek
3973,70161,Merpati Rd,1.32758635490072,103.88324806418215,OPP MATTAR STN EXIT A
3974,70171,Circuit Rd,1.3283366669713401,103.8854713890276,Blk 77
3975,70181,Circuit Rd,1.32886177068404,103.88691723349123,Blk 36
3976,70191,Circuit Rd,1.32722900950909,103.88793655793152,OPP BLK 66
3977,70201,Circuit Rd,1.3246113890296898,103.88885416699938,OPP MACPHERSON STN EXIT D
3978,70211,Pipit Rd,1.32362166702646,103.88696166698931,Blk 90
3979,70221,Circuit Rd,1.32620809233247,103.88512100988676,Blk 79 FC
3980,70231,Mattar Rd,1.3261766669877602,103.88401361102049,OPP MATTAR STN EXIT B
3981,70241,Mattar Rd,1.32525399997752,103.88199999996776,MacPherson Pr Sch
3982,70251,Paya Lebar Rd,1.32497158481981,103.8903707458953,Macpherson Stn Exit C
3983,70259,Paya Lebar Rd,1.3249873006867499,103.89080428753107,Macpherson Stn Exit B
3984,70261,Paya Lebar Rd,1.3288429698006599,103.88962746952593,Opp Orion @ Paya Lebar
3985,70269,Paya Lebar Rd,1.32824611112671,103.89014388885742,Citipoint Ind Cplx
3986,70271,Paya Lebar Rd,1.33078171512111,103.88931512831827,Le Crescendo
3987,70279,Paya Lebar Rd,1.33155751923227,103.88951499040957,Opp Trinity @ Paya Lebar
3988,70281,Upp Paya Lebar Rd,1.33530627797371,103.8879999999696,Aft Tai Seng Stn
3989,70289,Upp Paya Lebar Rd,1.3350640000248999,103.8886929999761,Aft Tai Seng Stn Exit C
3990,70291,Upp Paya Lebar Rd,1.33743499996855,103.8871361111267,Asiawide Ind Bldg
3991,70299,Upp Paya Lebar Rd,1.3374750000156,103.88758305557131,Opp Asiawide Ind Bldg
3992,70301,Upp Paya Lebar Rd,1.33965760027057,103.88575915318087,Aft Paya Lebar St
3993,70309,Upp Paya Lebar Rd,1.33965000001824,103.88639700003634,Opp Paya Lebar St
3994,70311,Kallang Way,1.3233556981218602,103.87901421599855,Aft Genting Lane
3995,70319,Kallang Way,1.32319846234081,103.87904763225208,Aft Kallang Way 4
3996,70321,Kallang Way,1.32247982189668,103.87674093245458,Aft Kallang Way 1
3997,70329,Kallang Way,1.3222974802183503,103.87682676312599,Aft Kallang Way 2
3998,70341,Tannery Rd,1.32626471325242,103.87490379761162,Tannery Blk
3999,70349,Tannery Rd,1.32598493140196,103.8744746944284,Bef Lor Bakar Batu
4000,70359,Lor Bakar Batu,1.32768812063773,103.87256886396422,Aft Kallang Sector
4001,70361,Genting Lane,1.32859972197494,103.87346222198977,BEF GENTING LK
4002,70371,Circuit Link,1.3262328886660901,103.88932330108936,Macpherson Stn Exit A
4003,70379,Circuit Link,1.3260429413360901,103.88933975894001,Opp Macpherson Stn Exit A
4004,70401,Ubi Rd 3,1.3308823007597799,103.89811560002391,BEF UBI RD 4
4005,70409,Ubi Rd 3,1.3309465462115502,103.89789906902672,BLK 3032A
4006,71011,Airport Rd,1.3341168820776101,103.89054392713258,Aft Paya Lebar Rd
4007,71021,Airport Rd,1.33655775095595,103.89468782549605,Opp Comfort Test Ctr
4008,71029,Airport Rd,1.33654331402892,103.89504292943957,Comfort Test Ctr
4009,71031,Airport Rd,1.33913918063035,103.8968074607421,Opp Gordon Warehse Bldg
4010,71041,Airport Rd,1.34652497125332,103.89845248326445,Opp Air Force Museum
4011,71049,Airport Rd,1.3460920927434799,103.89881549663342,Air Force Museum
4012,71051,Hougang Ave 3,1.34151105876514,103.89189250385124,Aft Kim Chuan Rd
4013,71059,Hougang Ave 3,1.34065465828861,103.89195372882892,Bef Kim Chuan Rd
4014,71061,Hougang Ave 3,1.33901443022109,103.89506854137487,Bef Airport Rd
4015,71069,Hougang Ave 3,1.3385251356058,103.89512258677937,Aft Airport Rd
4016,71071,Eunos Link,1.33638181561906,103.89785574766542,Opp Comfort Driving Ctr
4017,71079,Eunos Link,1.3355455849721498,103.89825312082961,Comfort Driving Ctr
4018,71081,Eunos Link,1.33375855817569,103.9005998503616,Eunos Technolink
4019,71089,Eunos Link,1.3329147989436299,103.90097214917816,Opp Eunos Technolink
4020,71091,Eunos Link,1.3307337478593402,103.90373154551285,Blk 637
4021,71099,Eunos Link,1.3302263890018897,103.90383361098931,Blk 311
4022,71101,Ubi Ave 1,1.3283069439771,103.902837222025,Blk 318
4023,71109,Ubi Ave 1,1.32831828375817,103.90256616022272,Maha Bodhi Sch
4024,71111,Ubi Ave 1,1.3267052749653,103.9005869517766,Blk 343
4025,71119,Ubi Ave 1,1.32680124825187,103.90021869264116,Opp Blk 343
4026,71121,Ubi Ave 2,1.330081111,103.8994169,UBI STN EXIT B
4027,71129,Ubi Ave 2,1.3297619440000001,103.8991489,UBI STN EXIT A
4028,71131,Ubi Ave 2,1.33127510693644,103.90140378909662,Automobile Megamart
4029,71139,Ubi Ave 2,1.3305422473753798,103.90087888738245,Blk 302
4030,71141,Ubi Ave 2,1.32917333299413,103.89706805602556,Blk 3023
4031,71149,Ubi Ave 2,1.32886553888796,103.89713767691656,Blk 3024
4032,71151,Ubi Ave 2,1.3281430514531598,103.89444941029379,Blk 3021
4033,71159,Ubi Ave 2,1.3278764191941201,103.89457489895,Blk 3026
4034,71161,Ubi Ave 2,1.3273299432591699,103.89209147524538,Blk 3019
4035,71169,Ubi Ave 2,1.32706502989935,103.89217317535862,Aztech Bldg
4036,71171,Airport Rd,1.3349782885486898,103.89238738026172,Blk 1022
4037,71179,Airport Rd,1.3346773011372,103.89238294056769,Opp Blk 1022
4038,71181,Airport Rd,1.3433286866571599,103.8989460984825,Opp Paya Lebar Air Base
4039,71189,Airport Rd,1.34494057674135,103.8990945752868,Paya Lebar Air Base
4040,71191,Airport Rd,1.34114100497371,103.89814797322435,Aft Defu Lane 12
4041,71201,Ubi Ave 1,1.32612447781531,103.89795152582764,Paya Ubi Ind Pk
4042,71209,Ubi Ave 1,1.32608112825105,103.89720788120638,Opp Paya Ubi Ind Pk
4043,71211,Ubi Ave 1,1.3254623554549199,103.89525403753592,Ubi 55
4044,71219,Ubi Ave 1,1.3255420710299999,103.89505220634287,Ubi Techpark
4045,71221,Ubi Rd 1,1.32632177179998,103.89318347862556,Meiban Ind Bldg
4046,71229,Ubi Rd 1,1.32623562632795,103.89334859736259,Opp Meiban Ind Bldg
4047,71291,Kaki Bt Rd 3,1.33709007875103,103.90374749997088,THE LEO
4048,71299,Kaki Bt Rd 3,1.33675693078428,103.9040176205713,EMPIRE TECHNOCENTRE
4049,71331,Kaki Bt Ave 2,1.33683480070641,103.90096749998749,KAKI BT AUTOHUB
4050,71339,Kaki Bt Ave 2,1.33681468016557,103.90112122053516,OPP KAKI BT AUTOHUB
4051,72011,Jln Eunos,1.32816499999482,103.9054836109767,Blk 322
4052,72019,Jln Eunos,1.3288462838909099,103.90546507501655,Eunos Mans
4053,72021,Bedok Reservoir Rd,1.3309653121011598,103.90632186608579,Blk 646
4054,72029,Bedok Reservoir Rd,1.33086398684,103.90655207721196,Opp Blk 646
4055,72031,Kaki Bt Ave 1,1.33521859078695,103.9099203114682,BEF KAKI BT STN EXIT B
4056,72039,Kaki Bt Ave 1,1.33546648279458,103.90985114690737,KAKI BT STN EXIT A
4057,72041,Kaki Bt Ave 1,1.33470286981513,103.90743417265202,Blk 660A CP
4058,72049,Kaki Bt Ave 1,1.33490332816583,103.90747460787432,Opp Blk 660A CP
4059,72051,Kaki Bt Ave 1,1.33343973211343,103.90412516288116,Kaki Bt Ind Est
4060,72059,Kaki Bt Ave 1,1.33375833299433,103.90428000002385,Opp Kaki Bt Ind Est
